번호,교과과정,학수강좌번호,교과목명,학점,이론,실습,강의요일/교시,강의실,담당교원,수업캠퍼스,비고
433,공교,RGC0017-14,자아와명상1,1.0,1.0,0.0,화1.0-1.5,102-309(학술/문화관 K309 대각전 법당),정혜련,서울,P/F
434,공교,RGC0017-15,자아와명상1,1.0,1.0,0.0,화2.0-2.5,407-B109(정보문화관P P204 좌선실),안효기,서울,P/F
435,공교,RGC0017-16,자아와명상1,1.0,1.0,0.0,화2.0-2.5,303-208(법학/만해관 B262 좌선실),이병진,서울,불교계전형전용/ P/F
436,공교,RGC0017-17,자아와명상1,1.0,1.0,0.0,화3.0-3.5,303-208(법학/만해관 B262 좌선실),이병진,서울,P/F
437,공교,RGC0017-18,자아와명상1,1.0,1.0,0.0,화3.0-3.5,407-B109(정보문화관P P204 좌선실),안효기,서울,P/F
438,공교,RGC0017-19,자아와명상1,1.0,1.0,0.0,화3.0-3.5,102-309(학술/문화관 K309 대각전 법당),정혜련,서울,P/F
439,공교,RGC0017-20,자아와명상1,1.0,1.0,0.0,수1.0-1.5,407-B109(정보문화관P P204 좌선실),김수덕,서울,P/F
440,공교,RGC0017-21,자아와명상1,1.0,1.0,0.0,수1.0-1.5,303-208(법학/만해관 B262 좌선실),안신정,서울,P/F
441,공교,RGC0017-22,자아와명상1,1.0,1.0,0.0,수2.0-2.5,102-309(학술/문화관 K309 대각전 법당),김근행,서울,P/F
442,공교,RGC0017-23,자아와명상1,1.0,1.0,0.0,수2.0-2.5,303-208(법학/만해관 B262 좌선실),안신정,서울,P/F
443,공교,RGC0017-24,자아와명상1,1.0,1.0,0.0,수2.0-2.5,407-B109(정보문화관P P204 좌선실),김수덕,서울,P/F
444,공교,RGC0017-25,자아와명상1,1.0,1.0,0.0,목1.0-1.5,407-B109(정보문화관P P204 좌선실),위하나,서울,P/F
445,공교,RGC0017-26,자아와명상1,1.0,1.0,0.0,목1.0-1.5,102-309(학술/문화관 K309 대각전 법당),홍지형,서울,P/F
446,공교,RGC0017-27,자아와명상1,1.0,1.0,0.0,목1.0-1.5,303-208(법학/만해관 B262 좌선실),안신정,서울,P/F
447,공교,RGC0017-28,자아와명상1,1.0,1.0,0.0,목2.0-2.5,303-208(법학/만해관 B262 좌선실),안신정,서울,P/F
448,공교,RGC0017-29,자아와명상1,1.0,1.0,0.0,목2.0-2.5,102-309(학술/문화관 K309 대각전 법당),홍지형,서울,P/F
449,공교,RGC0017-30,자아와명상1,1.0,1.0,0.0,목2.0-2.5,407-B109(정보문화관P P204 좌선실),위하나,서울,P/F
450,공교,RGC0017-31,자아와명상1,1.0,1.0,0.0,목3.0-3.5,407-B109(정보문화관P P204 좌선실),위하나,서울,P/F
451,공교,RGC0017-32,자아와명상1,1.0,1.0,0.0,목3.0-3.5,102-309(학술/문화관 K309 대각전 법당),홍지형,서울,P/F
452,공교,RGC0017-33,자아와명상1,1.0,1.0,0.0,목3.0-3.5,303-208(법학/만해관 B262 좌선실),안신정,서울,P/F
453,공교,RGC0017-34,자아와명상1,1.0,1.0,0.0,목5.5-6.0,303-208(법학/만해관 B262 좌선실),김수덕,서울,P/F
454,공교,RGC0017-35,자아와명상1,1.0,1.0,0.0,목6.5-7.0,303-208(법학/만해관 B262 좌선실),김수덕,서울,P/F
455,공교,RGC0017-36,자아와명상1,1.0,1.0,0.0,목6.5-7.0,407-B109(정보문화관P P204 좌선실),정혜련,서울,P/F
456,공교,RGC0017-37,자아와명상1,1.0,1.0,0.0,목7.5-8.0,407-B109(정보문화관P P204 좌선실),정혜련,서울,P/F
457,공교,RGC0017-38,자아와명상1,1.0,1.0,0.0,목7.5-8.0,303-208(법학/만해관 B262 좌선실),김수덕,서울,P/F
458,공교,RGC0017-39,자아와명상1,1.0,1.0,0.0,금1.0-1.5,303-208(법학/만해관 B262 좌선실),김창언,서울,P/F
459,공교,RGC0017-40,자아와명상1,1.0,1.0,0.0,금2.0-2.5,303-208(법학/만해관 B262 좌선실),김창언,서울,P/F
460,공교,RGC0017-41,자아와명상1,1.0,1.0,0.0,금3.0-3.5,303-208(법학/만해관 B262 좌선실),김창언,서울,P/F
461,공교,RGC0017-42,자아와명상1,1.0,1.0,0.0,월10.0-10.5,407-B109(정보문화관P P204 좌선실),안병희,서울,P/F
462,공교,RGC0017-43,자아와명상1,1.0,1.0,0.0,월11.0-11.5,407-B109(정보문화관P P204 좌선실),안병희,서울,P/F
463,공교,RGC0017-44,자아와명상1,1.0,1.0,0.0,목10.0-10.5,303-208(법학/만해관 B262 좌선실),신둘연,서울,P/F
464,공교,RGC0017-45,자아와명상1,1.0,1.0,0.0,월12.0-12.5,407-B109(정보문화관P P204 좌선실),안병희,서울,P/F
465,공교,RGC0017-46,자아와명상1,1.0,1.0,0.0,월13.0-13.5,407-B109(정보문화관P P204 좌선실),안병희,서울,P/F
466,공교,RGC0017-47,자아와명상1,1.0,1.0,0.0,목12.0-12.5,303-208(법학/만해관 B262 좌선실),신둘연,서울,P/F
467,공교,RGC0017-48,자아와명상1,1.0,1.0,0.0,수13.0-13.5,407-B109(정보문화관P P204 좌선실),홍영길,서울,P/F
468,공교,RGC0017-49,자아와명상1,1.0,1.0,0.0,화2.0-2.5,102-309(학술/문화관 K309 대각전 법당),정혜련,서울,P/F
469,공교,RGC0017-50,자아와명상1,1.0,1.0,0.0,월7.5-8.0,303-208(법학/만해관 B262 좌선실),이상옥,서울,외국인전용/ P/F
470,공교,RGC0017-51,자아와명상1,1.0,1.0,0.0,수1.0-1.5,102-309(학술/문화관 K309 대각전 법당),김근행,서울,외국인전용/ P/F
471,공교,RGC0017-52,자아와명상1,1.0,1.0,0.0,금3.0-3.5,102-309(학술/문화관 K309 대각전 법당),박상현,서울,외국인전용/ P/F
472,공교,RGC0017-53,자아와명상1,1.0,1.0,0.0,월7.0-7.5,1102-118(종합강의동 118 무용실/좌선실),공숙자,일산,BMC개설/ P/F
473,공교,RGC0017-54,자아와명상1,1.0,1.0,0.0,월8.0-8.5,1102-118(종합강의동 118 무용실/좌선실),공숙자,일산,BMC개설/ P/F
474,공교,RGC0017-55,자아와명상1,1.0,1.0,0.0,목7.0-7.5,1102-118(종합강의동 118 무용실/좌선실),공숙자,일산,BMC개설/ P/F
475,공교,RGC0017-56,자아와명상1,1.0,1.0,0.0,목8.0-8.5,1102-118(종합강의동 118 무용실/좌선실),공숙자,일산,BMC개설/ P/F
476,공교,RGC0018-01,자아와명상2,1.0,1.0,0.0,월4.0-4.5,407-B109(정보문화관P P204 좌선실),안효기,서울,P/F
477,공교,RGC0018-02,자아와명상2,1.0,1.0,0.0,월5.5-6.0,407-B109(정보문화관P P204 좌선실),안효기,서울,P/F
478,공교,RGC0018-03,자아와명상2,1.0,1.0,0.0,목4.0-4.5,102-309(학술/문화관 K309 대각전 법당),홍영길,서울,P/F
479,공교,RGC0018-04,자아와명상2,1.0,1.0,0.0,목5.5-6.0,102-309(학술/문화관 K309 대각전 법당),홍영길,서울,P/F
480,공교,RGC0018-05,자아와명상2,1.0,1.0,0.0,목6.5-7.0,102-309(학술/문화관 K309 대각전 법당),홍영길,서울,P/F
481,공교,RGC0018-06,자아와명상2,1.0,1.0,0.0,금1.0-1.5,102-309(학술/문화관 K309 대각전 법당),박상현,서울,P/F
482,공교,RGC0018-07,자아와명상2,1.0,1.0,0.0,금3.0-3.5,407-B109(정보문화관P P204 좌선실),김근행,서울,P/F
483,공교,RGC0018-08,자아와명상2,1.0,1.0,0.0,목13.0-13.5,303-208(법학/만해관 B262 좌선실),신둘연,서울,P/F
484,공교,RGC0018-10,자아와명상2,1.0,1.0,0.0,월6.5-7.0,407-B109(정보문화관P P204 좌선실),안효기,서울,외국인전용/ P/F
485,공교,RGC0018-11,자아와명상2,1.0,1.0,0.0,목6.0-6.5,1102-118(종합강의동 118 무용실/좌선실),공숙자,일산,BMC개설/ P/F
486,공교,RGC0018-16,자아와명상2,1.0,1.0,0.0,화5.0-5.5,407-B109(정보문화관P P204 좌선실),신둘연,서울,불교계전형전용/ P/F
487,일교,EGC2047-01,만해와불교의민족운동,2.0,2.0,0.0,수6.0-7.5,501-250(학림관 J211 강의실_스마트),김광식,서울,
488,일교,EGC2075-01,만해의생애와사상,2.0,2.0,0.0,화6.0-7.5,501-413(학림관 J414 강의실),김광식,서울,
489,일교,EGC2081-01,21세기생명생태철학,3.0,3.0,0.0,월4.0-5.0/수3.0-4.0,201-226(사회과학/경영관 M216 강의실)/201-226(사회과학/경영관 M216 강의실),김종욱,서울,
490,일교,EGC2084-01,오리엔탈리즘과불교,3.0,3.0,0.0,월4.0-5.0/수3.0-4.0,202-571(사회과학/경영관 L501 강의실)/202-571(사회과학/경영관 L501 강의실),황순일,서울,
491,일교,EGC2111-01,인간과로봇의공존시대,3.0,3.0,0.0,화8.0-9.0/목8.5-9.5,102-356(학술/문화관 K356 356 강의실)/102-356(학술/문화관 K356 356 강의실),허남결,서울,
492,일교,EGC2116-01,불교와스토리텔링,3.0,3.0,0.0,화4.0-5.0/목4.0-5.0,102-342(학술/문화관 K342 342 강의실)/102-342(학술/문화관 K342 342 강의실),우제선,서울,
493,일교,EGC5011-01,로봇의 행복/ 인간의 행복,3.0,3.0,0.0,수8.0-9.0/금8.0-9.0,102-357(학술/문화관 K357 357 강의실)/102-357(학술/문화관 K357 357 강의실),김진선,서울,
494,일교,GCR2002-01,행복학의인문학적문제들,3.0,3.0,0.0,수4.5-5.5/금4.0-5.0,102-315(학술/문화관 K315 315 강의실)/102-315(학술/문화관 K315 315 강의실),김진선,서울,핵심교양 대체인정 교과목
495,일교,GCR2004-01,현대요가와자기이해,3.0,3.0,0.0,화6.0-7.0/금6.0-7.0,303-208(법학/만해관 B262 좌선실)/303-208(법학/만해관 B262 좌선실),강형철,서울,핵심교양 대체인정(불교관련) 교과목
496,일교,GCR3002-01,동남아시아와불교문화,3.0,3.0,0.0,월4.0-5.0/수3.0-4.0,202-364(사회과학/경영관 L311 강의실)/202-364(사회과학/경영관 L311 강의실),김진영,서울,핵심교양 대체인정(불교관련) 교과목
497,일교,GCR4004-01,종교와과학,3.0,3.0,0.0,수4.5-5.5/금4.0-5.0,102-357(학술/문화관 K357 357 강의실)/102-357(학술/문화관 K357 357 강의실),한수진,서울,
498,일교,GCR7003-01,일본/문학/그리고불교,3.0,3.0,0.0,화1.0-2.0/목1.0-2.0,102-361(학술/문화관 K361 361 강의실)/102-361(학술/문화관 K361 361 강의실),김호성,서울,핵심교양 대체인정 교과목
499,학기,PRI5002-04,TOEIC영어,3.0,3.0,0.0,금11.0-13.5,202-571(사회과학/경영관 L501 강의실),이광임,서울,
500,학기,PRI5002-05,TOEIC영어,3.0,3.0,0.0,수6.0-8.5,1102-218(종합강의동 218 강의실),박제이,일산,BMC개설
