번호,교과과정,학수강좌번호,교과목명,학점,이론,실습,강의요일/교시,강의실,담당교원,수업캠퍼스,비고
53,전공,ENE2003-01,디지털공학,3.0,3.0,0.0,수5.0-6.0/목5.0-6.0,401-3189(신공학관(기숙사) 3189 캡스톤디자인실)/401-3189(신공학관(기숙사) 3189 캡스톤디자인실),홍유표,서울,수강제한 40명
54,전공,ENE2003-02,디지털공학,3.0,3.0,0.0,수6.5-7.5/목6.5-7.5,401-3189(신공학관(기숙사) 3189 캡스톤디자인실)/401-3189(신공학관(기숙사) 3189 캡스톤디자인실),홍유표,서울,수강제한 40명
55,전공,ENE2003-03,디지털공학,3.0,3.0,0.0,수9.5-10.5/목9.5-10.5,401-3189(신공학관(기숙사) 3189 캡스톤디자인실)/401-3189(신공학관(기숙사) 3189 캡스톤디자인실),홍유표,서울,수강제한 40명
56,전공,ENE2003-04,디지털공학,3.0,3.0,0.0,월3.0-4.0/수3.0-4.0,401-3189(신공학관(기숙사) 3189 캡스톤디자인실)/401-3189(신공학관(기숙사) 3189 캡스톤디자인실),전준현,서울,수강제한 40명
57,전공,ENE2003-05,디지털공학,3.0,3.0,0.0,월5.0-6.0/수5.0-6.0,401-3133(신공학관(기숙사) 3133 전자회로실험실)/401-3133(신공학관(기숙사) 3133 전자회로실험실),전준현,서울,수강제한 40명
58,전공,ENE2003-06,디지털공학,3.0,3.0,0.0,화8.5-9.5/금6.5-7.5,401-3133(신공학관(기숙사) 3133 전자회로실험실)/401-3133(신공학관(기숙사) 3133 전자회로실험실),정대원,서울,수강제한 40명
59,전공,ENE2003-07,디지털공학,3.0,3.0,0.0,목2.0-4.5,401-3133(신공학관(기숙사) 3133 전자회로실험실),정대원,서울,수강제한 40명/ 강사 강의 예정
60,전공,ENE2005-01,물리전자공학1,3.0,3.0,0.0,화2.5-3.5/수2.5-3.5,401-5147(신공학관(기숙사) 5147 강의실)/401-5147(신공학관(기숙사) 5147 강의실),박현창,서울,수강제한 60명
61,전공,ENE2005-02,물리전자공학1,3.0,3.0,0.0,월1.0-2.0/화1.0-2.0,401-6147(신공학관(기숙사) 6147 강의실)/401-6147(신공학관(기숙사) 6147 강의실),김삼동,서울,수강제한 60명
62,전공,ENE2005-03,물리전자공학1,3.0,3.0,0.0,월2.5-3.5/화2.5-3.5,401-6147(신공학관(기숙사) 6147 강의실)/401-6147(신공학관(기숙사) 6147 강의실),김삼동,서울,수강제한 60명
63,전공,ENE2005-04,물리전자공학1,3.0,3.0,0.0,목6.5-7.5/금5.0-6.0,401-5147(신공학관(기숙사) 5147 강의실)/401-5147(신공학관(기숙사) 5147 강의실),김성준,서울,수강제한 60명
64,전공,ENE2005-05,물리전자공학1,3.0,3.0,0.0,목1.0-2.0/금1.0-2.0,401-6147(신공학관(기숙사) 6147 강의실)/401-3107(신공학관(기숙사) 3107 강의실),신재철,서울,영어강의/ 수강제한 60명/ 신임교원 예정 
65,전공,ENE2006-01,전자기학1,3.0,3.0,0.0,월5.0-6.0/화5.0-6.0,401-6147(신공학관(기숙사) 6147 강의실)/401-6147(신공학관(기숙사) 6147 강의실),김용,서울,수강제한 60명
66,전공,ENE2006-02,전자기학1,3.0,3.0,0.0,화6.5-7.5/수6.5-7.5,401-5147(신공학관(기숙사) 5147 강의실)/401-5147(신공학관(기숙사) 5147 강의실),박현창,서울,수강제한 60명
67,전공,ENE2006-04,전자기학1,3.0,3.0,0.0,수1.0-2.0/금2.5-3.5,401-6147(신공학관(기숙사) 6147 강의실)/401-3107(신공학관(기숙사) 3107 강의실),정현삼,서울,수강제한 60명
68,전공,ENE2006-05,전자기학1,3.0,3.0,0.0,월6.5-7.5/금5.0-6.0,401-5141(신공학관(기숙사) 5141 강의실_스마트)/401-5141(신공학관(기숙사) 5141 강의실_스마트),박정동,서울,수강제한 60명
69,전공,ENE2007-03,전기회로실험,1.0,0.0,2.0,수2.5-4.0,401-3155(신공학관(기숙사) 3155 디지털실험실),최한호,서울,수강제한 30명
70,전공,ENE2015-02,C언어및자료구조,3.0,2.0,2.0,월7.0-8.5/수7.0-8.5,401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)/401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실),전준현,서울,수강제한 40명
71,전공,INC2025-01,정보통신수학및실습,3.0,2.0,2.0,화2.0-3.5/목2.0-3.5,401-6141(신공학관(기숙사) 6141 강의실)/401-6141(신공학관(기숙사) 6141 강의실),김동환,서울,수강제한 35명
72,전공,INC2025-02,정보통신수학및실습,3.0,2.0,2.0,화5.0-6.5/목5.0-6.5,401-6141(신공학관(기숙사) 6141 강의실)/401-6141(신공학관(기숙사) 6141 강의실),김동환,서울,수강제한 35명
73,전공,INC2027-01,자료구조와실습,3.0,2.0,2.0,화5.0-6.5/목5.0-6.5,401-3163(신공학관(기숙사) 3163 정보통신공학실습실1)/401-3163(신공학관(기숙사) 3163 정보통신공학실습실1),양기주,서울,수강제한 35명
74,전공,INC2027-02,자료구조와실습,3.0,2.0,2.0,화7.0-8.5/목7.0-8.5,401-3163(신공학관(기숙사) 3163 정보통신공학실습실1)/401-3163(신공학관(기숙사) 3163 정보통신공학실습실1),양기주,서울,수강제한 35명
75,전공,INC2027-03,자료구조와실습,3.0,2.0,2.0,월11.0-12.5/수11.0-12.5,401-6122(신공학관(기숙사) 6122 정보통신공학 실습실)/401-6122(신공학관(기숙사) 6122 정보통신공학 실습실),임민중,서울,수강제한 30명
76,전공,ISE2004-01,인간공학,3.0,3.0,0.0,월5.5-6.5/목5.5-6.5,405-450(원흥관 1/3 E450 강의실)/405-450(원흥관 1/3 E450 강의실),장준호,서울,수강제한 45명
77,전공,ISE2009-01,CAD및실습,3.0,3.0,0.0,화7.0-8.0/목7.0-8.0,405-305(원흥관 1/3 F305 ERP실습실)/405-305(원흥관 1/3 F305 ERP실습실),박준영,서울,영어강의/수강제한 40명
78,전공,ISE2012-01,산업시스템프로그래밍,3.0,2.0,2.0,월1.5-5.0,405-305(원흥관 1/3 F305 ERP실습실),이종태,서울,수강제한 40명
79,전공,ISE2012-02,산업시스템프로그래밍,3.0,2.0,2.0,목1.5-5.0,405-305(원흥관 1/3 F305 ERP실습실),이종태,서울,수강제한 40명
80,전공,ISE2018-01,응용통계학,3.0,3.0,0.0,수2.5-3.5/금2.5-3.5,405-450(원흥관 1/3 E450 강의실)/405-450(원흥관 1/3 E450 강의실),염세경,서울,수강제한 50명
81,전공,ISE2018-02,응용통계학,3.0,3.0,0.0,화2.5-3.5/수5.5-6.5,405-521(원흥관 1/3 F521 산업시스템 서비스공학실습실)/405-450(원흥관 1/3 E450 강의실),염세경,서울,수강제한 50명
82,전공,MEC2001-01,기계제도,2.0,0.0,4.0,월8.0-11.5,405-138(원흥관 1/3 E138 기계로봇에너지공학과 종합설계실),한민우,서울,영어강의
83,전공,MEC2001-02,기계제도,2.0,0.0,4.0,화8.0-11.5,405-138(원흥관 1/3 E138 기계로봇에너지공학과 종합설계실),한민우,서울,영어강의
84,전공,MEC2001-03,기계제도,2.0,0.0,4.0,수8.0-11.5,405-138(원흥관 1/3 E138 기계로봇에너지공학과 종합설계실),한민우,서울,영어강의
85,전공,MEC2013-01,고체역학,3.0,3.0,0.0,수2.5-3.5/금2.5-3.5,405-350(원흥관 1/3 E350 강의실)/405-350(원흥관 1/3 E350 강의실),이승준,서울,영어강의/수강제한60명
86,전공,MEC2013-02,고체역학,3.0,3.0,0.0,수5.0-6.0/목7.0-8.0,405-127(원흥관 1/3 E127 강의실)/405-127(원흥관 1/3 E127 강의실),이승준,서울,영어강의/수강제한60명
87,전공,MEC2018-01,열역학,3.0,3.0,0.0,월1.0-2.0/수2.5-3.5,405-347(원흥관 1/3 E347 강의실_스마트)/405-347(원흥관 1/3 E347 강의실_스마트),이상용,서울,영어강의/수강제한40명
88,전공,MEC2018-02,열역학,3.0,3.0,0.0,월2.5-3.5/수5.0-6.0,405-350(원흥관 1/3 E350 강의실)/405-250(원흥관 1/3 E250 강의실),이상용,서울,영어강의/수강제한40명
89,전공,MEC2034-01,로봇프로그래밍,3.0,2.0,2.0,월2.5-4.0/화2.0-3.5,405-127(원흥관 1/3 E127 강의실)/405-350(원흥관 1/3 E350 강의실),곽문규,서울,수강제한60명
90,전공,MME2042-01,멀티미디어자료구조,3.0,3.0,0.0,월5.5-6.5/화2.5-3.5,401-4147(신공학관(기숙사) 4147 강의실_스마트)/401-4147(신공학관(기숙사) 4147 강의실_스마트),이강만,서울,영어강의/수강제한 80명
91,전공,MME2046-01,멀티미디어고급프로그래밍,3.0,2.0,2.0,화5.5-7.0/목2.5-4.0,401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)/401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),조성인,서울,수강제한 35명
92,전공,MME2052-01,멀티미디어고급수학,3.0,3.0,0.0,월8.5-9.5/수8.5-9.5,401-4147(신공학관(기숙사) 4147 강의실_스마트)/401-4147(신공학관(기숙사) 4147 강의실_스마트),이철,서울,수강제한 80명
93,전공,ARD4002-01,건축환경계획,3.0,3.0,0.0,화6.0-8.5,405-250(원흥관 1/3 E250 강의실),이지훈,서울,
94,전공,ARD4004-01,건축설계1,4.0,0.0,8.0,수1.5-5.0/금7.0-10.5,405-406(원흥관 1/3 F406 교수연구실(공실))/405-406(원흥관 1/3 F406 교수연구실(공실)),이명식,서울,수강제한 9명
95,전공,ARD4004-02,건축설계1,4.0,0.0,8.0,수1.5-5.0/금7.0-10.5,405-404(원흥관 1/3 F404 크리틱실 1)/405-404(원흥관 1/3 F404 크리틱실 1),한광훈,서울,수강제한 9명
96,전공,ARD4004-03,건축설계1,4.0,0.0,8.0,수1.5-5.0/금7.0-10.5,405-405(원흥관 1/3 F405 크리틱실 2)/405-405(원흥관 1/3 F405 크리틱실 2),문정석,서울,수강제한 9명
97,전공,ARD4031-01,한국건축사,3.0,3.0,0.0,월7.0-8.0/수7.0-8.0,405-543(원흥관 1/3 E543 건축학과 세미나실)/405-543(원흥관 1/3 E543 건축학과 세미나실),조정식,서울,
98,전공,EME4014-01,반도체소자공정(캡스톤디자인),3.0,3.0,0.0,화1.0-2.0/목1.0-2.0,401-3101(신공학관(기숙사) 3101 강의실)/401-3101(신공학관(기숙사) 3101 강의실),권순철,서울,수강제한 45명
99,전공,EME4016-01,재료결정학개론,3.0,3.0,0.0,월4.0-5.0/수4.0-5.0,401-3101(신공학관(기숙사) 3101 강의실)/401-3101(신공학관(기숙사) 3101 강의실),남경완,서울,수강제한 45명
100,전공,EME4031-01,고분자화학,3.0,3.0,,월5.5-6.5/수5.5-6.5,401-3101(신공학관(기숙사) 3101 강의실)/401-3101(신공학관(기숙사) 3101 강의실),조제웅,서울,영어강의/수강제한 45명
101,전공,EME4035-01,물리화학(분광학),3.0,3.0,0.0,월7.0-8.0/수7.0-8.0,401-3101(신공학관(기숙사) 3101 강의실)/401-3101(신공학관(기숙사) 3101 강의실),권순철,서울,수강제한 45명
102,전공,EME4036-01,바이오재료학,3.0,3.0,0.0,화5.5-6.5/목5.5-6.5,401-3101(신공학관(기숙사) 3101 강의실)/401-3101(신공학관(기숙사) 3101 강의실),오제민,서울,영어강의/수강제한 45명 
103,전공,EME4037-01,융합신소재기초실험2,3.0,1.0,4.0,화8.5-13.0,401-3114(신공학관(기숙사) 3114 융합에너지신소재공학과 학부실습실),이세연,서울,수강제한15명
104,전공,EME4037-02,융합신소재기초실험2,3.0,1.0,4.0,수8.5-13.0,401-3114(신공학관(기숙사) 3114 융합에너지신소재공학과 학부실습실),최창순,서울,수강제한15명
105,전공,ENE4002-01,마이크로프로세서응용및실험,3.0,2.0,2.0,목4.5-6.0/금4.5-6.0,401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)/401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실),김건욱,서울,수강제한 40명
106,전공,ENE4002-02,마이크로프로세서응용및실험,3.0,2.0,2.0,월4.5-6.0/화4.5-6.0,401-3189(신공학관(기숙사) 3189 캡스톤디자인실)/401-3189(신공학관(기숙사) 3189 캡스톤디자인실),현교환,서울,수강제한 40명
107,전공,ENE4004-01,고체전자소자,3.0,3.0,0.0,화1.0-2.0/수1.0-2.0,401-3107(신공학관(기숙사) 3107 강의실)/401-3107(신공학관(기숙사) 3107 강의실),김현석,서울,수강제한 60명
108,전공,ENE4004-02,고체전자소자,3.0,3.0,0.0,화2.5-3.5/수2.5-3.5,401-3107(신공학관(기숙사) 3107 강의실)/401-3107(신공학관(기숙사) 3107 강의실),김현석,서울,수강제한 60명
109,전공,ENE4006-01,전력공학1,3.0,3.0,0.0,수5.0-6.0/금5.0-6.0,401-5141(신공학관(기숙사) 5141 강의실_스마트)/401-3107(신공학관(기숙사) 3107 강의실),류상욱,서울,수강제한 60명
110,전공,ENE4006-02,전력공학1,3.0,3.0,0.0,수6.5-7.5/금6.5-7.5,401-3107(신공학관(기숙사) 3107 강의실)/401-3107(신공학관(기숙사) 3107 강의실),류상욱,서울,수강제한 60명
111,전공,ENE4007-01,전기기계1,3.0,3.0,0.0,월6.5-7.5/화6.5-7.5,401-3107(신공학관(기숙사) 3107 강의실)/401-3107(신공학관(기숙사) 3107 강의실),한기진,서울,영어강의/수강제한 60명
112,전공,ENE4007-02,전기기계1,3.0,3.0,0.0,월8.0-9.0/화8.0-9.0,401-3107(신공학관(기숙사) 3107 강의실)/401-3107(신공학관(기숙사) 3107 강의실),한기진,서울,영어강의/수강제한 60명
113,전공,ENE4008-01,전기전자재료공학,3.0,3.0,0.0,목1.0-3.5,401-3107(신공학관(기숙사) 3107 강의실),송병두,서울,수강제한 60명
114,전공,ENE4010-01,컴퓨터구조및설계,3.0,3.0,0.0,수8.0-9.0/목8.0-9.0,401-3189(신공학관(기숙사) 3189 캡스톤디자인실)/401-3189(신공학관(기숙사) 3189 캡스톤디자인실),홍유표,서울,수강제한 40명
115,전공,ENE4010-02,컴퓨터구조및설계,3.0,3.0,0.0,금10.0-13.0,401-3189(신공학관(기숙사) 3189 캡스톤디자인실),홍유표,서울,수강제한 40명
116,전공,ENE4014-01,디지털신호처리및설계,3.0,3.0,0.0,월2.5-3.5/화2.5-3.5,401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)/401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실),원치선,서울,수강제한 38명
117,전공,ENE4014-02,디지털신호처리및설계,3.0,3.0,0.0,목6.5-7.5/금6.5-7.5,401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)/401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실),김건욱,서울,수강제한 40명
118,전공,ENE4014-03,디지털신호처리및설계,3.0,3.0,0.0,월8.0-9.0/금2.5-3.5,401-5141(신공학관(기숙사) 5141 강의실_스마트)/401-3189(신공학관(기숙사) 3189 캡스톤디자인실),박강령,서울,수강제한 40명
119,전공,ENE4044-01,랜덤신호이론,3.0,3.0,0.0,월5.0-6.0/화5.0-6.0,401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)/401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실),원치선,서울,수강제한 38명
120,전공,ENE4044-02,랜덤신호이론,3.0,3.0,0.0,월7.0-7.5/수4.5-6.0,401-5147(신공학관(기숙사) 5147 강의실)/401-5147(신공학관(기숙사) 5147 강의실),황승훈,서울,수강제한 60명
121,전공,ENE4046-01,통신이론,3.0,3.0,0.0,수6.5-7.5/목6.5-7.5,401-6147(신공학관(기숙사) 6147 강의실)/401-6147(신공학관(기숙사) 6147 강의실),손인수,서울,영어강의/수강제한 60명
122,전공,ENE4063-01,전자회로1,3.0,3.0,0.0,목2.5-3.5/금2.5-3.5,401-6147(신공학관(기숙사) 6147 강의실)/401-6147(신공학관(기숙사) 6147 강의실),변상진,서울,수강제한 60명
123,전공,ENE4063-02,전자회로1,3.0,3.0,0.0,월2.5-3.5/화6.5-7.5,401-3107(신공학관(기숙사) 3107 강의실)/401-5141(신공학관(기숙사) 5141 강의실_스마트),박정동,서울,수강제한 60명
124,전공,ENE4063-03,전자회로1,3.0,3.0,0.0,목1.0-2.0/금1.0-2.0,401-5147(신공학관(기숙사) 5147 강의실)/401-5147(신공학관(기숙사) 5147 강의실),김성준,서울,수강제한 60명
125,전공,ENE4063-04,전자회로1,3.0,3.0,0.0,목5.0-6.0/금8.0-9.0,401-6147(신공학관(기숙사) 6147 강의실)/401-6147(신공학관(기숙사) 6147 강의실),신재철,서울,수강제한 60명/신임교원 강의예정
126,전공,ENE4070-01,초고주파공학,3.0,2.0,2.0,화8.0-9.5/금8.0-9.5,401-5141(신공학관(기숙사) 5141 강의실_스마트)/401-3189(신공학관(기숙사) 3189 캡스톤디자인실),박정동,서울,영어강의/수강제한 40명 
127,전공,ISE4002-01,생산및운영관리,3.0,3.0,0.0,화7.0-8.0/목7.0-8.0,405-521(원흥관 1/3 F521 산업시스템 서비스공학실습실)/405-521(원흥관 1/3 F521 산업시스템 서비스공학실습실),전성범,서울,영어강의/수강제한 50명
128,전공,ISE4014-01,경영과학2,3.0,3.0,0.0,화8.5-9.5/목8.5-9.5,405-305(원흥관 1/3 F305 ERP실습실)/405-305(원흥관 1/3 F305 ERP실습실),홍성조,서울,수강제한 40명
129,전공,ISE4037-01,실험계획법,3.0,3.0,0.0,화5.5-6.5/목5.5-6.5,405-305(원흥관 1/3 F305 ERP실습실)/405-305(원흥관 1/3 F305 ERP실습실),홍성조,서울,수강제한 45명
130,전공,ISE4043-01,머신러닝,3.0,2.0,1.0,화2.5-5.0,405-505(원흥관 1/3 F505 자료분석실습실),이종태,서울,수강제한 30명
131,전공,ISE4043-02,머신러닝,3.0,2.0,1.0,월2.5-3.5/수2.5-3.5,405-505(원흥관 1/3 F505 자료분석실습실)/405-505(원흥관 1/3 F505 자료분석실습실),손영두,서울,수강제한 30명
132,전공,MEC4048-01,열전달,3.0,3.0,0.0,월2.0-3.0/화1.0-2.0,405-639(원흥관 1/3 E639 특화설계실)/405-639(원흥관 1/3 E639 특화설계실),송명호,서울,
133,전공,MEC4060-01,기계설계,3.0,3.0,0.0,월5.0-6.0/수2.5-3.5,405-350(원흥관 1/3 E350 강의실)/405-639(원흥관 1/3 E639 특화설계실),고봉환,서울,수강제한40명
134,전공,MEC4060-02,기계설계,3.0,3.0,0.0,화5.0-6.0/수5.0-6.0,405-350(원흥관 1/3 E350 강의실)/405-350(원흥관 1/3 E350 강의실),고봉환,서울,수강제한40명
135,전공,MEC4061-01,에너지응용공학,3.0,3.0,0.0,월8.0-9.0/목5.0-6.0,405-350(원흥관 1/3 E350 강의실)/405-350(원흥관 1/3 E350 강의실),송명호,서울,수강제한65명
136,전공,MEC4066-01,센서및계측,3.0,3.0,0.0,월6.5-7.5/화6.5-7.5,405-350(원흥관 1/3 E350 강의실)/405-350(원흥관 1/3 E350 강의실),방세윤,서울,영어강의/수강제한40명
137,전공,MEC4095-01,재료학,3.0,3.0,0.0,수6.5-7.5/목2.5-3.5,405-127(원흥관 1/3 E127 강의실)/405-350(원흥관 1/3 E350 강의실),이승준,서울,영어강의/수강제한60명
138,전공,MME4011-01,멀티미디어데이타베이스,3.0,3.0,0.0,수5.5-6.5/목2.5-3.5,401-4147(신공학관(기숙사) 4147 강의실_스마트)/401-4147(신공학관(기숙사) 4147 강의실_스마트),이강만,서울,수강제한 50명
139,전공,MME4098-01,멀티미디어운영체제,3.0,3.0,,화5.5-8.0,401-4147(신공학관(기숙사) 4147 강의실_스마트),정영식,서울,수강제한 80명
140,전공,MME4109-01,3D스크립트프로그래밍(캡스톤디자인),3.0,3.0,,월2.0-3.0/월3.5-4.5/화1.5-2.5/화3.0-4.0,401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)/401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)/401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)/401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),조경은,서울,"집중이수제(Term1)/수강제한 40명
 영어강의"
141,전공,MME4113-01,자율사물지능,3.0,3.0,0.0,월2.0-3.0/월3.5-4.5/화1.5-2.5/화3.0-4.0,401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)/401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)/401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)/401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),조경은,서울,집중이수제(Term2)/수강제한 40명 영어강의
142,전공,MME4114-01,자율사물가상현실,3.0,3.0,0.0,월5.5-6.5/목5.5-6.5,401-4137(신공학관(기숙사) 4137 멀티미디어공학과 학부실습실1)/401-4137(신공학관(기숙사) 4137 멀티미디어공학과 학부실습실1),윤승현,서울,수강제한 35명
143,전공,MME4119-01,디지털신호처리,3.0,3.0,0.0,월7.0-8.0/수7.0-8.0,401-4147(신공학관(기숙사) 4147 강의실_스마트)/401-4147(신공학관(기숙사) 4147 강의실_스마트),이철,서울,영어강의/수강제한 80명
144,전공,ARD4012-01,건축종합설계1,5.0,0.0,10.0,월8.5-13.0/수8.5-13.0,405-405(원흥관 1/3 F405 크리틱실 2)/405-405(원흥관 1/3 F405 크리틱실 2),조정식,서울,수강제한 9명
145,전공,ARD4012-02,건축종합설계1,5.0,0.0,10.0,월8.5-13.0/수8.5-13.0,405-404(원흥관 1/3 F404 크리틱실 1)/405-404(원흥관 1/3 F404 크리틱실 1),조한신,서울,수강제한 9명
146,전공,ARD4012-03,건축종합설계1,5.0,0.0,10.0,월8.5-13.0/수8.5-13.0,405-406(원흥관 1/3 F406 교수연구실(공실))/405-406(원흥관 1/3 F406 교수연구실(공실)),최민기,서울,수강제한 9명 팀티칭
147,전공,ARD4032-01,재료와구법,3.0,2.0,2.0,화1.5-5.0,405-541(원흥관 1/3 E541 강의실),백성진,서울,팀티칭
148,전공,ARD4037-01,건축과도시설계,3.0,3.0,0.0,화8.0-9.0/금2.5-3.5,405-541(원흥관 1/3 E541 강의실)/405-541(원흥관 1/3 E541 강의실),김태혁,서울,
149,전공,ARD4039-01,건축실무와법제도,3.0,0.0,3.0,목1.5-4.0,405-541(원흥관 1/3 E541 강의실),백용운,서울,
150,전공,CSE4085-01,머신러닝,3.0,2.0,2.0,수7.0-8.5/목7.0-8.5,401-6144(신공학관(기숙사) 6144 강의실)/401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),김준태,서울,수강인원 50명 제한
151,전공,EME4006-01,촉매재료,3.0,3.0,0.0,화7.0-8.0/목7.0-8.0,401-3101(신공학관(기숙사) 3101 강의실)/401-3101(신공학관(기숙사) 3101 강의실),최창순,서울,수강제한 45명
152,전공,EME4038-01,융합신소재기초실험3,3.0,1.0,4.0,금6.0-10.5,401-3114(신공학관(기숙사) 3114 융합에너지신소재공학과 학부실습실),조제웅,서울,수강제한 15명
153,전공,EME4038-02,융합신소재기초실험3,3.0,1.0,4.0,금1.0-5.5,401-3114(신공학관(기숙사) 3114 융합에너지신소재공학과 학부실습실),오제민,서울,수강제한 15명
154,전공,ENE4024-01,광전자공학,3.0,3.0,0.0,월6.5-7.5/화6.5-7.5,401-6147(신공학관(기숙사) 6147 강의실)/401-6147(신공학관(기숙사) 6147 강의실),김삼동,서울,수강제한 60명
155,전공,ENE4025-01,디지털집적회로설계,3.0,2.0,2.0,목8.0-9.5/금4.5-6.0,401-5147(신공학관(기숙사) 5147 강의실)/401-3133(신공학관(기숙사) 3133 전자회로실험실),변상진,서울,수강제한 30명
156,전공,ENE4025-02,디지털집적회로설계,3.0,2.0,2.0,수8.0-9.5/금8.0-9.5,401-3133(신공학관(기숙사) 3133 전자회로실험실)/401-5147(신공학관(기숙사) 5147 강의실),변상진,서울,수강제한 30명
157,전공,ENE4026-01,전력전자공학,3.0,3.0,0.0,수5.0-6.0/금1.0-2.0,401-6147(신공학관(기숙사) 6147 강의실)/401-6147(신공학관(기숙사) 6147 강의실),정현삼,서울,영어강의/수강제한 60명
158,전공,ENE4027-01,전자에너지변환공학,3.0,3.0,0.0,목2.5-3.5/금2.5-3.5,401-5141(신공학관(기숙사) 5141 강의실_스마트)/401-5141(신공학관(기숙사) 5141 강의실_스마트),한기진,서울,수강제한 60명
159,전공,ENE4031-01,로봇공학,3.0,3.0,0.0,화1.0-2.0/수1.0-2.0,401-5141(신공학관(기숙사) 5141 강의실_스마트)/401-5141(신공학관(기숙사) 5141 강의실_스마트),김민성,서울,영어강의/수강제한 60명
160,전공,ENE4039-01,캡스톤디자인,3.0,2.0,2.0,수10.0-13.5,401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실),전준현,서울,P/F/수강제한 30명
161,전공,ENE4039-02,캡스톤디자인,3.0,2.0,2.0,월10.0-11.5/금10.0-11.5,401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)/401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실),최한호,서울,P/F/수강제한 30명
162,전공,ENE4039-03,캡스톤디자인,3.0,2.0,2.0,화10.0-11.5/목10.0-11.5,401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실)/401-3193(신공학관(기숙사) 3193 설계시뮬레이션강의실),최한호,서울,P/F/수강제한 30명
163,전공,ENE4039-04,캡스톤디자인,3.0,2.0,2.0,수10.0-13.5,401-4127(신공학관(기숙사) 4127 전기기계실험실),최한호,서울,P/F/수강제한 30명
164,전공,ENE4039-05,캡스톤디자인,3.0,2.0,2.0,화10.0-11.5/목10.0-11.5,401-4127(신공학관(기숙사) 4127 전기기계실험실)/401-4127(신공학관(기숙사) 4127 전기기계실험실),전병훈,서울,P/F/수강제한 30명
165,전공,ENE4054-01,전력시스템응용,3.0,3.0,0.0,화5.0-6.0/목5.0-6.0,401-5141(신공학관(기숙사) 5141 강의실_스마트)/401-5141(신공학관(기숙사) 5141 강의실_스마트),류상욱,서울,수강제한 60명
166,전공,ENE4059-01,영상및딥러닝프로그래밍,3.0,3.0,0.0,월5.0-6.0/금6.5-7.5,401-5141(신공학관(기숙사) 5141 강의실_스마트)/401-3189(신공학관(기숙사) 3189 캡스톤디자인실),박강령,서울,수강제한 40명
167,전공,ENE4067-01,현대제어공학,3.0,3.0,,월1.0-2.0/수2.5-3.5,401-5141(신공학관(기숙사) 5141 강의실_스마트)/401-5141(신공학관(기숙사) 5141 강의실_스마트),김민성,서울,영어강의/수강제한 60명
168,전공,ENE4072-01,IoT통신및실습,3.0,2.0,2.0,월8.0-9.5/화8.0-9.5,401-3189(신공학관(기숙사) 3189 캡스톤디자인실)/401-3189(신공학관(기숙사) 3189 캡스톤디자인실),현교환,서울,수강제한 40명
169,전공,ENE4073-01,전기설비공학개론,3.0,3.0,0.0,월2.5-3.5/화2.5-3.5,401-5141(신공학관(기숙사) 5141 강의실_스마트)/401-5141(신공학관(기숙사) 5141 강의실_스마트),김민성,서울,수강제한 60명
170,전공,INC4084-01,캡스톤디자인1,3.0,2.0,2.0,목10.0-13.5,401-6141(신공학관(기숙사) 6141 강의실),김웅섭,서울,수강제한 32명
171,전공,INC4084-02,캡스톤디자인1,3.0,2.0,2.0,목10.0-13.5,401-5143(신공학관(기숙사) 5143 강의실_스마트),김동환,서울,수강제한 30명
172,전공,ISE4008-01,금융공학입문,3.0,3.0,0.0,월5.5-6.5/수5.5-6.5,405-505(원흥관 1/3 F505 자료분석실습실)/405-505(원흥관 1/3 F505 자료분석실습실),손영두,서울,영어강의/수강제한 30명
173,전공,ISE4011-01,프로젝트관리,3.0,3.0,0.0,수7.5-10.0,405-450(원흥관 1/3 E450 강의실),서용윤,서울,영어강의/수강제한 50명
174,전공,ISE4026-01,산업시스템공학종합설계,3.0,3.0,0.0,금1.0-3.5,405-127(원흥관 1/3 E127 강의실),박준영,서울,산업시스템공학과전용강의/수강제한 40명
